Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.09404125,4260.3457,4000.6116,3982.9346,375.66824,False
0.10035203,4228.629,3590.662,3572.5974,359.72574,False
0.10913787,4386.4966,3825.7844,3803.0227,416.7096,False
0.14202546,2708.231,2515.1868,2489.8623,356.02084,False
0.13628934,2861.3926,2675.7122,2650.9004,363.54318,False
0.12069382,3022.0994,2514.061,2495.7722,302.6955,False
0.17404206,3159.7644,2564.2659,2525.5273,444.0405,True
0.114925034,3017.693,2920.7764,2901.509,334.9319,False
0.13209867,2999.7253,2775.8372,2751.653,365.6189,False
0.14195187,2177.9287,1529.7322,1514.3457,216.4198,True
0.14101705,3067.6287,2874.8523,2846.3154,404.0609,False
0.15560807,2798.6147,2614.2058,2582.6196,405.15186,True
0.14158103,2823.639,2662.8577,2636.2134,375.75183,False
0.15919268,3179.4236,2730.5918,2696.0652,432.85657,False
0.13756947,3683.224,2916.484,2888.9294,399.95477,False
0.124954045,3805.8015,3466.2583,3439.2332,431.99677,False
0.11468489,3366.0442,3239.5098,3218.2295,370.70898,False
0.15963148,3905.8237,3491.954,3447.5571,555.0614,False
0.18547468,3364.1167,3139.1494,3085.3093,578.90027,True
0.1338119,3199.7996,3046.215,3018.9834,406.40448,False
0.12429349,3208.0022,3149.0305,3124.7373,390.39697,False
0.14601418,2963.808,2814.0688,2784.1238,409.43542,False
0.12782171,4240.9346,4017.5068,3984.7317,512.1274,False
0.20983231,2682.4482,1618.056,1582.5653,337.03442,True
0.13618147,3359.7651,2941.967,2914.7292,399.40424,False
0.09841362,2810.1445,2164.5398,2154.0664,212.67651,False
0.12781979,3385.948,2832.546,2809.4385,361.07037,False
0.14758895,2514.9006,1815.9407,1796.1989,267.04086,False
0.12540217,3234.0415,2320.37,2302.1494,290.2174,False
0.18618795,3128.7751,2797.8137,2749.4592,517.91473,True
0.1445807,2824.384,2758.0493,2729.273,397.37292,True
0.1594176,2480.3289,1694.0762,1672.5951,268.9231,True
0.17607301,3078.9048,2745.781,2703.3289,480.9638,False
0.1388112,3807.3652,3512.625,3478.8376,486.02734,False
0.14998916,3719.1633,3396.7603,3358.6238,507.5691,False
0.1993946,2332.0986,2118.6274,2076.6504,419.64917,True
0.1658606,3025.6648,2773.3625,2735.303,457.88547,True
